record_id,stream,step,method,regime,task_type,correct,plan_valid,stale_amount,stale_endpoint,stale_needed,probes,probe_proxy_not_currency,peak_config_usd,latency_s,prompt_tokens,completion_tokens
rc_001_002_ttl,1,2,ttl,hidden_drift,2,1,1,0,0,0,2,0.36,0.000724068,3.507995915831998,515,506
rc_001_003_always,1,3,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0010269,4.464766334043816,515,727
rc_001_003_myopic,1,3,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.005066868,17.625597374746576,515,4125
rc_001_003_recheck,1,3,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0014516999999999998,5.083471999736503,515,1081
rc_001_003_ttl,1,3,ttl,hidden_drift,2,1,1,0,0,0,0,0.0,0.0013844999999999999,5.366825749864802,515,1025
rc_001_004_always,1,4,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0007076999999999999,3.1660536252893507,515,461
rc_001_004_myopic,1,4,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.0044421,15.918493665754795,515,3573
rc_001_004_recheck,1,4,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.005336868000000001,19.90165558294393,515,4350
rc_001_004_ttl,1,4,ttl,hidden_drift,2,1,1,0,0,0,0,0.0,0.0018920999999999996,6.864193749846891,515,1448
rc_001_005_always,1,5,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.001126068,4.3926049578003585,515,841
rc_001_005_myopic,1,5,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.003808068,14.009369458071887,515,3076
rc_001_005_recheck,1,5,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0016749,6.701837750850245,515,1267
rc_001_005_ttl,1,5,ttl,hidden_drift,2,1,1,0,0,0,2,0.36,0.0025017,9.451049123890698,515,1956
rc_001_006_always,1,6,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0067521000000000005,24.101880000904202,515,5498
rc_001_006_myopic,1,6,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.0017116679999999997,6.51664787507616,515,1329
rc_001_006_recheck,1,6,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0021525,8.473820250015706,515,1665
rc_001_006_ttl,1,6,ttl,hidden_drift,2,1,1,0,0,0,0,0.0,0.0010257,4.30703820916824,515,726
rc_001_007_always,1,7,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0018992999999999998,7.737287874799222,515,1454
rc_001_007_myopic,1,7,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.003475668,12.980102041037753,515,2799
rc_001_007_recheck,1,7,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0025101,10.122559250099584,515,1963
rc_001_007_ttl,1,7,ttl,hidden_drift,2,1,1,0,0,0,0,0.0,0.0030657,11.937562874751166,515,2426
rc_002_000_always,2,0,always,no_drift,0,1,1,0,0,0,2,0.36,0.0008187,3.435545917134732,461,567
rc_002_000_myopic,2,0,myopic,no_drift,0,1,1,0,0,0,0,0.0,0.0006675,3.473019207827747,461,441
rc_002_000_recheck,2,0,recheck,no_drift,0,1,1,0,0,0,0,0.0,0.0009782999999999999,4.494992917170748,461,700
rc_002_000_ttl,2,0,ttl,no_drift,0,1,1,0,0,0,0,0.0,0.0007959,3.745664875023067,461,548
rc_002_001_always,2,1,always,no_drift,0,1,1,0,0,0,2,0.36,0.0007551000000000001,3.685216583078727,461,514
rc_002_001_myopic,2,1,myopic,no_drift,0,1,1,0,0,0,1,0.18,0.0008954999999999999,3.8511305418796837,461,631
rc_002_001_recheck,2,1,recheck,no_drift,0,1,1,0,0,0,1,0.18,0.0012495,5.233698083087802,461,926
rc_002_001_ttl,2,1,ttl,no_drift,0,1,1,0,0,0,0,0.0,0.0008391,3.5059405837673694,461,584
rc_002_002_always,2,2,always,no_drift,0,1,1,0,0,0,2,0.36,0.0006171,3.222590332850814,461,399
rc_002_002_myopic,2,2,myopic,no_drift,0,1,1,0,0,0,0,0.0,0.0007370999999999999,3.4126088740304112,461,499
rc_002_002_recheck,2,2,recheck,no_drift,0,1,1,0,0,0,0,0.0,0.0007455,3.469564541010186,461,506
rc_002_002_ttl,2,2,ttl,no_drift,0,1,1,0,0,0,2,0.36,0.0007239,3.1812262921594083,461,488
rc_002_003_always,2,3,always,no_drift,0,1,1,0,0,0,2,0.36,0.0005475,2.78618170786649,461,341
rc_002_003_myopic,2,3,myopic,no_drift,0,1,1,0,0,0,1,0.18,0.0009422999999999999,3.660584834171459,461,670
rc_002_003_recheck,2,3,recheck,no_drift,0,1,1,0,0,0,1,0.18,0.0010899,5.2177233749534935,461,793
rc_002_003_ttl,2,3,ttl,no_drift,0,1,1,0,0,0,0,0.0,0.0009423,3.8890700419433415,461,670
rc_002_004_always,2,4,always,no_drift,1,0,0,0,0,0,2,0.36,0.0017535,6.82910987501964,477,1342
rc_002_004_myopic,2,4,myopic,no_drift,1,1,1,0,0,0,1,0.18,0.0026558999999999997,9.841664791107178,473,2095
rc_002_004_recheck,2,4,recheck,no_drift,1,1,1,0,0,0,1,0.18,0.0024831000000000002,9.218225374817848,473,1951
rc_002_004_ttl,2,4,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0027783,11.405736041953787,473,2197
rc_002_005_always,2,5,always,no_drift,1,1,1,0,0,0,2,0.36,0.0031287,11.241772166918963,473,2489
rc_002_005_myopic,2,5,myopic,no_drift,1,1,1,0,0,0,0,0.0,0.0015266999999999998,6.147873123874888,473,1154
rc_002_005_recheck,2,5,recheck,no_drift,1,1,1,0,0,0,0,0.0,0.0012782999999999998,4.972497125156224,473,947
rc_002_005_ttl,2,5,ttl,no_drift,1,1,1,0,0,0,2,0.36,0.0026103,9.991530291968957,473,2057
rc_002_006_always,2,6,always,no_drift,1,1,1,0,0,0,2,0.36,0.0015651,6.036301749758422,473,1186
rc_002_006_myopic,2,6,myopic,no_drift,1,1,1,0,0,0,1,0.18,0.0017247,6.859415541868657,473,1319
rc_002_006_recheck,2,6,recheck,no_drift,1,1,1,0,0,0,1,0.18,0.0025815,9.468883542343974,473,2033
rc_002_006_ttl,2,6,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0021903,8.140765790827572,473,1707
rc_002_007_always,2,7,always,no_drift,2,1,1,0,0,0,2,0.36,0.0026694,9.988823291147128,514,2096
rc_002_007_myopic,2,7,myopic,no_drift,2,1,1,0,0,0,1,0.18,0.0021966,7.739981041988358,514,1702
rc_002_007_recheck,2,7,recheck,no_drift,2,1,1,0,0,0,1,0.18,0.001408968,6.621104582911357,514,1077
rc_002_007_ttl,2,7,ttl,no_drift,2,1,1,0,0,0,0,0.0,0.0024149999999999996,9.165902748703957,514,1884
rc_003_000_always,3,0,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0006126,2.5558390831574798,462,395
rc_003_000_myopic,3,0,myopic,hidden_drift,0,1,1,0,0,0,0,0.0,0.0005874,2.9796377499587834,462,374
rc_003_000_recheck,3,0,recheck,hidden_drift,0,1,1,0,0,0,0,0.0,0.0005958000000000001,4.4953482921700925,462,381
rc_003_000_ttl,3,0,ttl,hidden_drift,0,1,1,0,0,0,0,0.0,0.0006162,2.992915582843125,462,398
rc_003_001_always,3,1,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0005898,2.4366528338287026,462,376
rc_003_001_myopic,3,1,myopic,hidden_drift,0,1,1,0,0,0,1,0.18,0.0005057999999999999,2.3172204999718815,462,306
rc_003_001_recheck,3,1,recheck,hidden_drift,0,1,1,0,0,0,1,0.18,0.0004854,2.6349551260937005,462,289
rc_003_001_ttl,3,1,ttl,hidden_drift,0,1,1,0,0,0,0,0.0,0.000573,3.402842416893691,462,362
rc_003_002_always,3,2,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.000627,3.073927167104557,462,407
rc_003_002_myopic,3,2,myopic,hidden_drift,0,1,1,0,0,0,0,0.0,0.000549,2.312372041400522,462,342
rc_003_002_recheck,3,2,recheck,hidden_drift,0,1,1,0,0,0,0,0.0,0.001011,4.3081264577340335,462,727
rc_003_002_ttl,3,2,ttl,hidden_drift,0,1,1,0,0,0,2,0.36,0.0005682,2.8534695832058787,462,358
rc_003_003_always,3,3,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.000585,2.955408584093675,462,372
rc_003_003_myopic,3,3,myopic,hidden_drift,0,1,1,0,0,0,1,0.18,0.0006018,2.52207912504673,462,386
rc_003_003_recheck,3,3,recheck,hidden_drift,0,1,1,0,0,0,1,0.18,0.0006642,3.5100552497897297,462,438
rc_003_003_ttl,3,3,ttl,hidden_drift,0,1,1,0,0,0,0,0.0,0.0006366,2.9318489579018205,462,415
rc_003_004_always,3,4,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0005273999999999999,2.9773431250359863,462,324
rc_003_004_myopic,3,4,myopic,hidden_drift,0,1,1,0,0,0,0,0.0,0.00046019999999999996,2.33731508301571,462,268
rc_003_004_recheck,3,4,recheck,hidden_drift,0,1,1,0,0,0,0,0.0,0.0005082,2.168012458831072,462,308
rc_003_004_ttl,3,4,ttl,hidden_drift,0,1,1,0,0,0,0,0.0,0.000753,3.62461887486279,462,512
rc_003_005_always,3,5,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0005298,3.4360777081456035,462,326
rc_003_005_myopic,3,5,myopic,hidden_drift,0,1,1,0,0,0,1,0.18,0.0005321999999999999,2.9004938330035657,462,328
rc_003_005_recheck,3,5,recheck,hidden_drift,0,1,1,0,0,0,1,0.18,0.0005813999999999999,3.189535708865151,462,369
rc_003_005_ttl,3,5,ttl,hidden_drift,0,1,1,0,0,0,2,0.36,0.0006582,3.2470562080852687,462,433
rc_003_006_always,3,6,always,hidden_drift,3,1,1,0,0,0,2,0.36,0.0005708999999999999,2.5139345831703395,463,360
rc_003_006_myopic,3,6,myopic,hidden_drift,3,1,1,0,0,0,0,0.0,0.0007317000000000001,3.307651543058455,463,494
rc_003_006_recheck,3,6,recheck,hidden_drift,3,1,1,0,0,0,0,0.0,0.0007784999999999999,3.5798537090886384,463,533
rc_003_006_ttl,3,6,ttl,hidden_drift,3,1,1,0,0,0,0,0.0,0.0005205,3.228311790851876,463,318
rc_003_007_always,3,7,always,hidden_drift,3,1,1,0,0,0,2,0.36,0.0006081,2.891918625915423,463,391
rc_003_007_myopic,3,7,myopic,hidden_drift,3,1,1,0,0,0,0,0.0,0.0007352999999999999,3.87693745829165,463,497
rc_003_007_recheck,3,7,recheck,hidden_drift,3,1,1,0,0,0,0,0.0,0.0009249,4.044362124986947,463,655
rc_003_007_ttl,3,7,ttl,hidden_drift,3,1,1,0,0,0,0,0.0,0.0010593,4.8084393329918385,463,767
