method,seed,hazard,rho,price,success,task_loss,probes_per_task,objective,cpu_ms,tasks
entropy,10031.5,0.07,0.55,0.17,0.9193033854166666,0.03932996961805554,0.4789279513888889,0.09663867187499997,1.3020823038181935,80.0
fresh,10031.5,0.07,0.55,0.17,1.0,0.0,1.21005859375,0.20570996093749996,1.2572208593763574,80.0
myopic,10031.5,0.07,0.55,0.17,0.8068033854166666,0.07600368923611109,0.324609375,0.10379513888888886,1.2329625416680972,80.0
never,10031.5,0.07,0.55,0.17,0.6227213541666666,0.1987679036458333,0.05,0.2072679036458333,1.125811249130039,80.0
no_task,10031.5,0.07,0.55,0.17,0.8173285590277778,0.07051161024305554,0.5152777777777778,0.11969216579861107,1.6434584157972845,80.0
random,10031.5,0.07,0.55,0.17,0.8822591145833333,0.05374891493055554,0.5669053819444445,0.11283799913194442,1.367286252605145,80.0
recheck,10031.5,0.07,0.55,0.17,0.8967230902777779,0.03390950520833331,0.4427517361111111,0.08335438368055553,1.6437864175360417,80.0
ttl,10031.5,0.07,0.55,0.17,0.895974392361111,0.04732801649305554,0.4371744791666667,0.09376573350694442,1.2960939427073055,80.0
